talo+Sg+Nom	talo
sairaala+Sg+Ad	sairaalalla

sairaala+Pl+Ad	sairaaloilla

sairaala+Sg+Abl	sairaalalta

sairaala+Pl+Abl	sairaaloilta

sairaala+Sg+All	sairaalalle

sairaala+Pl+All	sairaaloille

	+?

maa+Sg+Ill	maahan

maa+Pl+Ill	maihin

maa+Sg+In	maassa

maa+Pl+In	maissa

maa+Sg+El	maasta

maa+Pl+El	maista

maa+Sg+Ad	maalla

maa+Pl+Ad	mailla

maa+Sg+Abl	maalta

maa+Pl+Abl	mailta

maa+Sg+All	maalle

maa+Pl+All	maille

	+?

suu+Sg+Ill	suuhun

suu+Pl+Ill	suihin

suu+Sg+In	suussa

suu+Pl+In	suissa

suu+Sg+El	suusta

suu+Pl+El	suista

suu+Sg+Ad	suulla

suu+Pl+Ad	suilla

suu+Sg+Abl	suulta

suu+Pl+Abl	suilta

suu+Sg+All	suulle

suu+Pl+All	suille

	+?

pullo+Sg+Ill	pulloon

pullo+Pl+Ill	pulloihin

pullo+Sg+In	pullossa

pullo+Pl+In	pulloissa

pullo+Sg+El	pullosta

pullo+Pl+El	pulloista

pullo+Sg+Ad	pullolla

pullo+Pl+Ad	pulloilla

pullo+Sg+Abl	pullolta

pullo+Pl+Abl	pulloilta

pullo+Sg+All	pullolle

pullo+Pl+All	pulloille

	+?

vapaa+Sg+Ill	vapaaseen

vapaa+Pl+Ill	vapaihin

vapaa+Sg+In	vapaassa

vapaa+Pl+In	vapaissa

vapaa+Sg+El	vapaasta

vapaa+Pl+El	vapaista

vapaa+Sg+Ad	vapaalla

vapaa+Pl+Ad	vapailla

vapaa+Sg+Abl	vapaalta

vapaa+Pl+Abl	vapailta

vapaa+Sg+All	vapaalle

vapaa+Pl+All	vapaille

	+?

harmaa+Sg+Ill	harmaaseen

harmaa+Pl+Ill	harmaihin

harmaa+Sg+In	harmaassa

harmaa+Pl+In	harmaissa

harmaa+Sg+El	harmaasta

harmaa+Pl+El	harmaista

harmaa+Sg+Ad	harmaalla

harmaa+Pl+Ad	harmailla

harmaa+Sg+Abl	harmaalta

harmaa+Pl+Abl	harmailta

harmaa+Sg+All	harmaalle

harmaa+Pl+All	harmaille

	+?

korkea+Sg+Ill	korkeaan

korkea+Pl+Ill	korkaihin

korkea+Sg+In	korkeassa

korkea+Pl+In	korkaissa

korkea+Sg+El	korkeasta

korkea+Pl+El	korkaista

korkea+Sg+Ad	korkealla

korkea+Pl+Ad	korkailla

korkea+Sg+Abl	korkealta

korkea+Pl+Abl	korkailta

korkea+Sg+All	korkealle

korkea+Pl+All	korkaille

